Stage Name,Full Name,Korean Name,Date of Birth,Country,Group,Gender,,
2Soul,Kim Younghoon,김영훈,10/09/1997,South Korea,7 O'clock,M,,
A-min,Cho Minwoo,조민우,22/05/2004,South Korea,EPEX,M,,
A-ra,Choi Eunji,최은지,25/07/2003,South Korea,Girls' World,F,,
A.M,Seong Hyunwoo,성현우,31/12/1996,South Korea,Limitless,M,,
Ace,Jang Wooyoung,장우영,28/08/1992,South Korea,VAV,M,,
Aeji,Kwon Aeji,권애지,25/10/1999,South Korea,Hashtag,F,,
AhIn,Lee Ahin,이아인,27/09/1999,South Korea,MOMOLAND,F,,
Ahra,Go Ahra,고아라,21/02/2001,South Korea,Favorite,F,,
Ahxian,Park Sungkook,박성국,27/03/1996,South Korea,VANNER,M,,
Ahyeon,Jung Ahyeon,정아현,11/04/2007,South Korea,BABYMONSTER,F,,
Ahyoon,Choi Subin,최수빈,23/10/2004,South Korea,BOTOPASS,F,,
Ahyoon,Shin Ahyoon,신아윤,24/09/2003,South Korea,Queenz Eye,F,,
Ahyoung,Cho Jayoung,조자영,26/05/1991,South Korea,Dal Shabet,F,,
Ahyung,Kang Ahyoung,강아형,27/08/1996,South Korea,P.O.P,F,,
Ailee,Lee Yejin,이예진,30/05/1989,South Korea,,F,,
Aini,Kim Heejung,김희정,13/07/1991,South Korea,,F,,
Aisha,Heo Yoorim,허유림,21/07/2000,South Korea,Everglow,F,,
Aki,Jang Minju,장민주,12/02/2001,South Korea,MAJORS,F,,
Alex,Alexander Schmidt Lee,알렉산더 슈미트 리,06/10/2004,Germany,DRIPPIN,M,,
AleXa,Kim Seri,김세리,06/12/1996,USA,,F,,
Alice,Cheon Jaeyoung,천재영,20/02/2002,South Korea,TRACER,F,,
Alice,Song Joohee,송주희,21/03/1990,South Korea,Hello Venus,F,,
Allen,Allen Ma,앨런 마,26/04/1999,USA,CRAVITY,M,,
Amber,Amber Josephine Liu,엠버 조세핀 리우,18/09/1992,USA,f(x),F,,
Andamiro,Yeon Seongju,연승주,06/05/2003,South Korea,Geenius,F,,
Andy,Lee Sunho,이선호,21/01/1981,South Korea,Shinhwa,M,,
Andy,Lui Chunyeung,루이쯔양,06/10/1994,Hong Kong,7 O'clock,M,,
Anne,Lee Seoyoung,이서영,17/10/2000,South Korea,GWSN,F,,
Anthony,Anthony Lo,엔써니 루오,12/03/1998,China,VARSITY,M,,
Anton,Anton Chanyoung Lee,앤톤 찬영 리,21/03/2004,USA,RIIZE,M,,
Ara,Lee Yunji,이윤지,23/01/2002,South Korea,ILY:1,F,,
Aran,Jeong Eunah,정은아,11/10/2004,South Korea,FIFTY FIFTY,F,,
Arang,Park Yerim,박예림,22/01/2001,South Korea,Pink Fantasy,F,,
Arang,Son Mnjung,손민정,08/03/2000,South Korea,,F,,
Areum,Kim Daun,김다운,31/01/1998,South Korea,AREAL,F,,
Ari,Kim Sunyoung,김선영,23/10/1994,South Korea,Tahiti,F,,
Aria,Baby Gauthami,베이비 고타미,12/03/2003,India,X:IN,F,,
Arie,Jeon Minjae,전민재,07/04/2000,South Korea,MIXX,F,,
Arin,Choi Yewon,최예원,18/06/1999,South Korea,Oh My Girl,F,,
Aron,Kwak Youngmin,곽영민,21/05/1993,South Korea,NU'EST,M,,
Arthur,Jang Yunho,장윤호,15/04/2000,South Korea,Kingdom,M,,
Asa,Enami Asa,에나미 아사,17/04/2006,Japan,BABYMONSTER,F,,
Asahi,Hanada Asahi,하나다 아사히,20/08/2001,Japan,Treasure,M,,
Ashley,Ashley Choi,애슐리 최,09/11/1991,South Korea,Ladies' Code,F,,
Aurora,Yang Lan,양안,14/01/1997,China,NATURE,F,,
Ayamy,Suzuki Ayami,스즈키 아야미,15/07/2000,Japan,Bling Bling,F,,
Ayden,Kwon Yejun,권예준,24/01/2005,South Korea,EPEX,M,,
Ayeon,Son Minji,손민지,29/09/2002,South Korea,Saturday,F,,
Ayno,Noh Yoonho,노윤호,01/05/1996,South Korea,VAV,M,,
B-Bomb,Lee Minhyuk,이민혁,14/12/1990,South Korea,Block B,M,,
B-Joo,Kim Byungjoo,김병주,08/01/1994,South Korea,Topp Dogg,M,,
B.I,Kim Hanbin,김한빈,22/10/1996,South Korea,,M,,
B.S,Lee Youngsoo,이영수,14/04/1995,South Korea,14U,M,,
Babysoul,Lee Soojung,이수정,06/07/1992,South Korea,Lovelyz,F,,
Bada,Kim Bada,김바다,28/05/2002,South Korea,Hinapia,F,,
Bae,Bae Jinsol,배진솔,28/12/2004,South Korea,NMIXX,F,,
Baek Seung,Kim Hyunwoo,김현우,05/10/2004,South Korea,EPEX,M,,
Baekah,Kim Sua,김수아,24/10/1999,South Korea,XUM,F,,
Baekgyeul,Baek Sunwoo,백선우,01/12/1999,South Korea,E'LAST,M,,
Baekho,Kang Dongho,강동호,21/07/1995,South Korea,NU'EST,M,,
Baekhyun,Byun Baekhyun,변백현,06/05/1992,South Korea,EXO,M,,
Bahiyyih,Huening Bahiyyih,휴닝바히에,27/07/2004,USA,Kep1er,F,,
Bain,Song Byeonghee,송병희,04/05/2001,South Korea,JUST B,M,,
BamBam,Kunpimook Bhuwakul,꾼삐묵 부와꾼,02/05/1997,Thailand,GOT7,M,,
Bang Chan,Bang Chan,방찬,03/10/1997,Australia,Stray Kids,M,,
Bao,Bae Sungyeob,배성엽,12/05/1996,South Korea,XEED,M,,
Baro,Cha Sunwoo,차선우,05/09/1992,South Korea,,M,,
Baron,Choi Chunghyeop,최충협,19/04/1992,South Korea,,M,,
BC,Jin Sungho,진성호,18/07/1994,South Korea,1TEAM,M,,
Bekah,Rebecca Kim,김레베카,11/08/1989,South Korea,,F,,
BEL,Choi Sunghoon,최성훈,21/05/2000,South Korea,DUSTIN,M,,
Belle,Shim Hyewon,심혜원,20/03/2004,South Korea,KISS OF LIFE,F,,
Belle,Jin Hyeonjoo,진현주,03/11/2001,South Korea,Cignature,F,,
Benji,Baek Jaewook,배제욱,03/05/1992,USA,B.I.G,M,,
Beomgyu,Choi Beomgyu,최범규,13/03/2001,South Korea,TXT,M,,
Beomsoo,Kim Beomsoo,김범수,29/09/2000,South Korea,XODIAC,M,,
Bessie,Kim Susanna,김수산나,15/07/2004,South Korea,Lapillus,F,,
Bian,Yu Jiwon,유지원,13/02/2001,South Korea,MAJORS,F,,
BIBI,Kim Hyungseo,김형서,27/09/1998,South Korea,,F,,
Bic,Nam Seungmin,남승민,25/04/2001,South Korea,MCND,M,,
Bin,Kwon Soobin,김수빈,28/10/1993,South Korea,Hot Blood Youth,M,,
Bit,No Minjae,노민재,21/07/2004,South Korea,BAE173,M,,
Bitsaeon,Kim Sangyeon,김상연,04/06/1995,South Korea,MONT,M,,
Bitto,Lee Changhyun,이창현,24/08/1996,South Korea,UP10TION,M,,
Blue,Jung Gahee,정가희,18/01/1994,South Korea,Pungdeng-E,F,,
BM,Matthew Kim,매튜김,20/10/1992,South Korea,KARD,M,,
BoA,Kwon Boa,권보아,05/11/1986,South Korea,,F,,
Boa,Kim Boah,김보아,14/01/1987,South Korea,KEEMBO,F,,
Bobby,Kim Jiwon,김지원,21/12/1995,South Korea,iKON,M,,
Boeun,Park Boeun,박보은,11/02/2008,South Korea,CLASS:y,F,,
Bom,Park Bom,박봄,24/03/1984,South Korea,2NE1,F,,
Bomi,Yoon Bomi,윤보미,13/08/1993,South Korea,Apink,F,,
Bomin,Kim Bomin,김보민,24/09/2001,South Korea,RedSquare,F,,
Bomin,Choi Bomin,최보민,24/08/2000,South Korea,Golden Child,M,,
Bona,Kim Jiyeon,김지연,19/08/1995,South Korea,WJSN,F,,
Boni,Choi Euijeong,최의정,30/10/1999,South Korea,Dreamnote,F,,
Bora,Kim Bora,김보라,03/03/1999,South Korea,Cherry Bullet,F,,
Bora,Yoon Bora,윤보라,30/12/1989,South Korea,SISTAR,F,,
Boram,Jeon Boram,전보람,22/03/1986,South Korea,,F,,
Boyul,Kwon Boyul,권보율,21/01/2002,South Korea,WEUS,M,,
Brian,Brian Ho,브라이언 호,27/08/2002,Canada,AMPERS&ONE,M,,
Bullet,Jin Junwoo,진준우,02/12/1995,South Korea,VARSITY,M,,
BX,Lee Byounggon,이병곤,05/03/1998,South Korea,CIX,M,,
Byeongkwan,Kim Byeongkwan,김병관,13/08/1996,South Korea,A.C.E,M,,
Byungchan,Choi Byungchan,최병찬,12/11/1997,South Korea,VICTON,M,,
Byunghoon,Choi Byunghoon,최병훈,26/04/2000,South Korea,CMDM,M,,
C.A.P,Bang Minsoo,방민수,04/11/1992,South Korea,Teen Top,M,,
Cao Lu,Cao Lu,차오루,30/08/1987,China,Fiestar,F,,
Carmen,Nyoman Ayu Carmenita,뇨만 아유 카르메니타,28/03/2006,Indonesia,Hearts2Hearts,F,,
Casper,Chu Xiaoxiang,저효상,20/03/1991,China,CROSS GENE,M,,
Castle J,Son Sangjoon,손성준,31/05/1999,South Korea,MCND,M,,
Cha Hoon,Cha Hoon,차훈,12/07/1994,South Korea,N.Flying,M,,
Chaebin,Choi Yoobin,최유빈,28/07/1999,South Korea,NATURE,F,,
Chaeeun,Yoon Chaeeun,윤채은,10/12/2005,South Korea,ADYA,F,,
Chaehyun,Kim Chaehyun,김채현,29/11/1999,South Korea,Bonus Baby,F,,
Chaehyun,Kim Chaehyun,김채현,26/04/2002,South Korea,Kep1er,F,,
Chaein,Lee Chaeyoung,이채영,05/12/2002,South Korea,Purple Kiss,F,,
Chaekyung,Yoon Chaekyung,윤채경,07/07/1996,South Korea,APRIL,F,,
Chaejin,Chae Jinseok,채진석,26/12/1995,South Korea,MYNAME,M,,
